"B1_x","B1_y","N_x","N_y","B_x","B_y"
3.78,0.5092592593,3.78,1.653333333,3.78,0.8419753086,
3.79,0.5079155673,3.79,1.655454545,3.79,0.8408311346,
3.8,0.5065789474,3.8,1.657575758,3.8,0.8396929825,
3.81,0.5052493438,3.81,1.65969697,3.81,0.8385608049,
3.82,0.5039267016,3.82,1.661818182,3.82,0.837434555,
3.83,0.5026109661,3.83,1.663939394,3.83,0.8363141862,
3.84,0.5013020833,3.84,1.666060606,3.84,0.8351996528,
3.85,0.5,3.85,1.668181818,3.85,0.8340909091,
3.86,0.4987046632,3.86,1.67030303,3.86,0.8329879102,
3.87,0.4974160207,3.87,1.672424242,3.87,0.8318906115,
3.88,0.4961340206,3.88,1.674545455,3.88,0.8307989691,
3.89,0.4948586118,3.89,1.676666667,3.89,0.8297129392,
3.9,0.4935897436,3.9,1.678787879,3.9,0.8286324786,
3.91,0.4923273657,3.91,1.680909091,3.91,0.8275575448,
3.92,0.4910714286,3.92,1.683030303,3.92,0.8264880952,
3.93,0.489821883,3.93,1.685151515,3.93,0.8254240882,
3.94,0.4885786802,3.94,1.687272727,3.94,0.8243654822,
3.95,0.4873417722,3.95,1.689393939,3.95,0.8233122363,
3.96,0.4861111111,3.96,1.691515152,3.96,0.8222643098,
3.97,0.4848866499,3.97,1.693636364,3.97,0.8212216625,
3.98,0.4836683417,3.98,1.695757576,3.98,0.8201842546,
3.99,0.4824561404,3.99,1.697878788,3.99,0.8191520468,
4,0.48125,4,1.7,4,0.818125,
4.01,0.4800498753,4.01,1.7,4.01,0.816084788,
4.02,0.4788557214,4.02,1.7,4.02,0.8140547264,
4.03,0.4776674938,4.03,1.7,4.03,0.8120347395,
4.04,0.4764851485,4.04,1.7,4.04,0.8100247525,
4.05,0.475308642,4.05,1.7,4.05,0.8080246914,
4.06,0.474137931,4.06,1.7,4.06,0.8060344828,
4.07,0.472972973,4.07,1.7,4.07,0.8040540541,
4.08,0.4718137255,4.08,1.7,4.08,0.8020833333,
4.09,0.4706601467,4.09,1.7,4.09,0.8001222494,
4.1,0.4695121951,4.1,1.7,4.1,0.7981707317,
4.11,0.4683698297,4.11,1.7,4.11,0.7962287105,
4.12,0.4672330097,4.12,1.7,4.12,0.7942961165,
4.13,0.4661016949,4.13,1.7,4.13,0.7923728814,
4.14,0.4649758454,4.14,1.7,4.14,0.7904589372,
4.15,0.4638554217,4.15,1.7,4.15,0.7885542169,
4.16,0.4627403846,4.16,1.7,4.16,0.7866586538,
4.17,0.4616306954,4.17,1.7,4.17,0.7847721823,
4.18,0.4605263158,4.18,1.7,4.18,0.7828947368,
4.19,0.4594272076,4.19,1.7,4.19,0.781026253,
4.2,0.4583333333,4.2,1.7,4.2,0.7791666667,
4.21,0.4572446556,4.21,1.7,4.21,0.7773159145,
4.22,0.4561611374,4.22,1.7,4.22,0.7754739336,
4.23,0.4550827423,4.23,1.7,4.23,0.7736406619,
4.24,0.454009434,4.24,1.7,4.24,0.7718160377,
4.25,0.4529411765,4.25,1.7,4.25,0.77,
4.26,0.4518779343,4.26,1.7,4.26,0.7681924883,
4.27,0.4508196721,4.27,1.7,4.27,0.7663934426,
4.28,0.4497663551,4.28,1.7,4.28,0.7646028037,
4.29,0.4487179487,4.29,1.7,4.29,0.7628205128,
4.3,0.4476744186,4.3,1.7,4.3,0.7610465116,
4.31,0.4466357309,4.31,1.7,4.31,0.7592807425,
4.32,0.4456018519,4.32,1.7,4.32,0.7575231481,
4.33,0.4445727483,4.33,1.7,4.33,0.7557736721,
4.34,0.4435483871,4.34,1.7,4.34,0.7540322581,
4.35,0.4425287356,4.35,1.7,4.35,0.7522988506,
4.36,0.4415137615,4.36,1.7,4.36,0.7505733945,
4.37,0.4405034325,4.37,1.7,4.37,0.7488558352,
4.38,0.4394977169,4.38,1.7,4.38,0.7471461187,
4.39,0.4384965831,4.39,1.7,4.39,0.7454441913,
4.4,0.4375,4.4,1.7,4.4,0.74375,
4.41,0.4365079365,4.41,1.7,4.41,0.7420634921,
4.42,0.435520362,4.42,1.7,4.42,0.7403846154,
4.43,0.434537246,4.43,1.7,4.43,0.7387133183,
4.44,0.4335585586,4.44,1.7,4.44,0.7370495495,
4.45,0.4325842697,4.45,1.7,4.45,0.7353932584,
4.46,0.4316143498,4.46,1.7,4.46,0.7337443946,
4.47,0.4306487696,4.47,1.7,4.47,0.7321029083,
4.48,0.4296875,4.48,1.7,4.48,0.73046875,
4.49,0.4287305122,4.49,1.7,4.49,0.7288418708,
